	CHL_chlor_a	KD490_Kd_490	PIC_pic	POC_poc	PAR_par	FLH_nflh	RRS_Rrs_412	RRS_Rrs_443	RRS_Rrs_469	RRS_Rrs_488	RRS_Rrs_531	RRS_Rrs_547	RRS_Rrs_555	RRS_Rrs_645	RRS_Rrs_667	RRS_Rrs_678	SST	GridLat	GridLong
G0048	0.18906698	0.042399999	1.1995435e-05	57.600098	45.284	0.049605012000000004	0.006333000950000001	0.0056430008	0.0052400007499999995	0.004691001	0.0022769999	0.00178000145	0.0015030019	0.00021700002	0.0001440011	0.00016100145999999998	22.6025	-29.791666	154.12502
G0049	0.194980005	0.0436	1.3999641e-05	59.099853499999995	44.825998999999996	0.054960013	0.0066340007	0.0058120005	0.0053760018	0.00479300125	0.0023650005500000003	0.00185200015	0.0015600007	0.000238999725	0.00015800074	0.00017700158	22.5724995	-29.958338	154.04167
G0050	0.21346531	0.045499999	1.3999641e-05	62.1999515	42.089	0.06800747	0.0061990021999999995	0.0054740012	0.005097	0.0045910013	0.0023200009	0.0018270016	0.00154099985	0.000227000565	0.00015900098	0.00018400140000000002	22.412499500000003	-30.291666	154.12502
G0051	0.21603192	0.0461	1.69984995e-05	63.499756000000005	43.07199850000001	0.061590075499999994	0.006029000499999999	0.0053590015	0.00502699985	0.00454400115	0.0023290012	0.001840001	0.00156200115	0.00023400225	0.00015800074000000002	0.00018000044000000002	22.224999500000003	-30.375002	154.04167
G0052	0.8411391500000001	0.090499997	1.3999641e-05	139.0	44.673998999999995	0.155939935	0.0022820011	0.0025070012	0.0026370007000000003	0.00263600055	0.0019140020000000002	0.00166399965	0.00146299975	0.00015399978000000001	0.000126000492	0.00022000261000000001	20.2175	-32.291668	152.79167
G0053	0.37732548	0.06	1.69985e-05	86.39990499999999	45.0289985	0.09678006	0.0044940021	0.0042710006	0.00412799975	0.00386399965	0.00224900245	0.0018310025	0.0015740003	0.00020400062500000002	0.00015800074000000002	0.000210000205	21.02	-32.291668	153.12502
G0054	0.75913068	0.0842999975	2.29999425e-05	128.3999	44.348	0.18139756	0.004098	0.0038570016	0.0037450007499999997	0.0035640001	0.0023459997000000003	0.00198900145	0.00175100005	0.00029600039	0.000247001645	0.000334000215	20.9575	-32.291668	153.45836
G0055	0.322500215	0.056400000000000006	1.9997358e-05	81.799805	43.864000000000004	0.076762557	0.004924001149999999	0.00458800235	0.004443001	0.0041360017	0.00240899995	0.00194000085	0.00167200155	0.00022900105000000002	0.00019200146	0.00022800080000000001	21.1574995	-32.291668	153.62502
G0056	0.25490694999999997	0.05	2.6997179e-05	70.8999	43.218	0.08751500000000001	0.00504700095	0.0047799999999999995	0.004591999649999999	0.0042440016	0.0023070015	0.00183100255	0.00154300035	0.00019100121999999998	0.00016800128	0.0002060011	20.854999999999997	-32.291668	153.87502
G0057	0.32732252500000003	0.0584	0.00010100007000000001	85.0	43.2929985	0.080800055	0.0049800016	0.00484400055	0.00479800065	0.0044640023000000004	0.00272200065	0.0022289995000000003	0.0019310005000000002	0.00032499991	0.00026600249499999997	0.000294001775	20.4975	-32.291668	154.37502
G0058	0.0980920375	0.031199999	6.7997724e-05	39.699951	48.6269985	0.0550025705	0.010818001	0.008720001	0.007653001499999999	0.006359999999999999	0.002572	0.00195500065	0.00162600165	0.00026000105	0.00020700135000000002	0.000214001165	21.3924995	-30.125002	-43.29166
G0059	0.1002514925	0.031399999	5.2999707000000006e-05	39.999756	46.590999999999994	0.038130045	0.010631001000000001	0.00859799975	0.0075660013	0.00631199965	0.0025549997000000003	0.0019439999	0.0016099997	0.00025900081	0.00019999965999999999	0.00020000152500000001	21.4999995	-30.208338	-43.29166
G0060	0.35306909	0.058299998500000005	8.599460349999999e-05	89.6999525	48.759	0.0646499415	0.0050580016499999995	0.005081001700000001	0.0050110016	0.004785001299999999	0.0028019994	0.0023020021500000003	0.0019520018	0.000288000325	0.00022199935999999998	0.000255001715	17.6375	-40.62501	-52.208332
G0061	0.35216612999999997	0.0567	5.0995499e-05	85.80005	48.3899975	0.089937567	0.004749	0.0048550015	0.0047970004	0.00457100015	0.0026200003500000003	0.0021359995	0.00180600025	0.00025600194999999995	0.00020000151999999998	0.000239001595	17.4825	-40.62501	-52.124996
G0062	0.35616009000000004	0.055799999	5.9999526000000005e-05	84.6999525	48.408998	0.09393250850000001	0.004808999600000001	0.00491500085	0.00481500105	0.0045610014	0.00255200085	0.00207200085	0.0017460007	0.000251000745	0.00019099936	0.00023100153	17.4	-40.62501	-52.04166
G0063	0.49612264000000006	0.073499998	0.00012499839	110.30005	57.715999999999994	0.11496996749999999	0.0044580009	0.0042520016	0.00413300095	0.0040010008	0.0028650015500000002	0.0024080016	0.00210200065	0.0003180001	0.00025600008500000003	0.00029999949	14.870000000000001	-44.541668	-52.458332
G0064	0.44874444999999996	0.0693	8.39978455e-05	104.0998525	56.266000000000005	0.09860754	0.0041920021	0.0040940009	0.00402000185	0.0039060004	0.0027140006	0.0022580009000000003	0.001964001	0.000298000865	0.000236000865	0.000276001175	15.3599995	-44.62501	-52.124996
G0065	0.48852589	0.07029999749999999	0.0009269975	115.29980499999999	59.284000000000006	0.1048550625	0.009374002	0.00803600265	0.007844001	0.0080450009	0.005396001	0.0045270007000000004	0.00386700035	0.00048800000000000004	0.0003720019	0.00040700100000000004	8.115	-47.20834	-58.29166
G0066	0.69077065	0.0866999975	9.799748700000001e-05	144.5	48.495999999999995	0.14000249	0.0032209995999999998	0.0032260008	0.0033230018	0.00338600015	0.0026200023000000003	0.0023420006500000003	0.0020819996	0.000466000285	0.000327000395	0.00039200111999999996	7.3149998499999995	-54.37501	-65.125
G0067					20.289999												12.3324995	41.708332	2.7916667
G0068	0.7469575500000001	0.08489999549999999	1.99973585e-05	213.7998	50.98	0.06477749299999999	0.0010050014	0.0019680001	0.0023580007500000003	0.0025400016000000003	0.00186100045	0.00157600085	0.0013490003	0.00017100200000000001	0.00014000200000000002	0.00016700104	26.475	20.791662	63.541668
G0069	0.44786982	0.063399999	1.3999641e-05	124.69995	53.227999999999994	0.06320500200000001	0.0019920003000000004	0.00265200065	0.00301700085	0.0031020008	0.0019840002	0.0016060006	0.0013440009	0.00014800206	0.00012000091000000001	0.00014700182	26.6824995	19.041662	64.458336
G0070	0.27798983	0.0483999985	1.2997538e-05	109.7998	53.007000000000005	0.046587468	0.0026619993	0.0030530002000000002	0.0032689998999999997	0.0032310001499999998	0.00176000035	0.00136300175	0.0011320002	8.000061e-05	8.600019e-05	0.0001090019925	27.314999999999998	18.541662	66.458336
G0071	0.284243845	0.0485	1.2997538e-05	133.69995	53.065	0.048032522	0.0024500005	0.0029190015	0.00316499915	0.0031519998000000002	0.00170900115	0.00132399985	0.00109500065	7.100030800000001e-05	8.000061e-05	0.000104000792	27.2474995	18.541662	66.541664
G0072	0.22237004999999999	0.043199999	1.79968775e-05	66.19995	53.5109985	0.015944958	0.003943	0.0041420013	0.004152	0.0039099996	0.00196900035	0.0015360024	0.00121599995	0.00015000068	0.00013900176	0.00013200007	27.634999999999998	17.541662	67.958336
G0073	0.15671847500000002	0.033299997	1.1995435e-05	47.699707	53.653000000000006	-0.006579876	0.0061950013	0.0053760017	0.005086001	0.00453100175	0.0019510016000000002	0.0014540013	0.0011529997	9.899959e-05	0.000111000615	0.00011700019499999999	28.5075	14.624997	69.958336
G0074	0.157204515	0.033499999	1.1995435e-05	48.099853499999995	53.705	-0.006239891	0.0060430020000000004	0.005334001	0.0050950013499999995	0.0045110006000000005	0.0019490011000000002	0.0014490001	0.00116100165	0.0001080017525	0.0001140013325	0.000116001815	28.4574995	14.541661	69.958336
G0075	0.113312358	0.031	1.69947745e-05	40.599853499999995	51.181	0.042210102	0.0097279995	0.007778001999999999	0.0069440006500000005	0.0058860015	0.002460001	0.00179300085	0.0015089996	0.000114999715	0.00018500164	0.00019299984000000002	30.7424995	6.0416617	73.87501
G0076	0.46686147999999994	0.068299998	0.0031729973500000002	106.5998525	50.928	0.079992533	0.009148001499999999	0.00809200085	0.008259000150000001	0.0078640005	0.00543400085	0.0046990011	0.0042040012500000005	0.00084600038	0.0007199999	0.00069800018	30.159999499999998	4.6249976	73.458336
G0077	0.08956981	0.0271	1.79968775e-05	33.5	51.342999	0.042167425	0.01146600225	0.008569002249999999	0.007424000700000001	0.0060410015	0.0022820010500000003	0.00165200235	0.0014079995	0.00012300163499999998	0.00018100068	0.00019700080000000002	30.945	0.20833333	71.87501
G0078	0.09262052	0.027999998999999998	2.4996698e-05	35.099853499999995	51.053	0.042507528	0.01134500075	0.0085150005	0.0074190012	0.0060740002	0.0023470018	0.00171200185	0.0014630016	0.000141000375	0.00018900074	0.00020200014000000001	30.972499	0.04166158	71.62501
G0079	0.213034695	0.045799998499999994	0.00056499616	63.299805000000006	50.271998499999995	0.059805036	0.008425001000000001	0.006872000200000001	0.0064899994999999995	0.0057860018	0.0030590015999999998	0.0024350025	0.0021350011	0.000366000465	0.000327002255	0.00033299998	30.65	-0.62500256	73.12501
G0080	0.10512832	0.0304	2.7999282e-05	38.899902499999996	47.656	0.06397009000000001	0.010478999249999999	0.008127000149999999	0.00712200065	0.0059320013500000005	0.002433002	0.0017770007	0.0015330017	0.000162001697	0.00019900128	0.000221000985	30.619999999999997	-2.0416667	72.12501
